ESTADOS;IND_MEJOR_ACCION
21301;1
21421;1
21300;1
02901;0
21420;1
21541;1
20331;0
21540;2
20330;2
22630;2
01811;1
00601;0
22510;1
22631;0
02900;1
01810;1
01931;0
22511;1
00721;0
00600;0
01930;2
00841;1
00720;2
00840;0
01801;1
21311;1
21310;1
21431;1
21430;1
20341;1
20340;1
22640;1
22520;1
22641;2
01800;1
01921;0
22400;1
22521;1
00711;2
01920;2
22401;1
00710;1
00831;0
00830;2
10301;1
10300;0
21401;1
21400;1
21521;1
20311;1
21520;1
21641;1
20310;2
20431;1
21640;0
20430;1
00740;2
02801;2
22730;2
01711;1
02800;0
02921;1
22731;1
22610;0
00501;0
01831;2
01710;0
02920;1
00621;2
22611;0
00500;0
01830;1
00620;0
00741;2
21411;1
21410;1
21531;1
20321;1
21530;1
20320;2
20441;1
20440;1
22740;2
01701;0
02911;2
22741;1
22620;2
01700;1
01821;2
02910;1
22500;1
22621;1
00611;2
01820;1
22501;1
01941;0
00610;0
00731;0
01940;1
00730;2
21501;1
21500;1
21621;1
20411;1
21620;1
21741;2
20410;1
20531;1
00801;1
21740;2
20530;2
00800;0
00921;2
00920;1
22830;2
22710;1
22831;0
22711;0
21511;1
20301;1
21510;1
21631;0
20421;1
20300;1
00911;2
21630;1
20420;2
20541;1
00910;1
20540;2
22840;0
22720;2
22841;0
22721;2
22600;1
22601;1
21600;0
21721;0
20511;1
22811;2
21720;1
21841;2
20510;1
20631;0
21840;2
20630;1
01911;0
00701;0
01910;2
00821;1
00700;0
00820;2
00941;2
22930;2
00940;1
21601;1
22931;1
22810;0
21611;2
22701;2
20401;1
21731;0
21610;0
20400;1
20521;2
21730;2
01901;1
20520;2
20641;1
01900;0
20640;0
00811;1
00810;0
00931;0
22940;1
00930;2
22820;0
22941;2
22700;1
22821;2
11340;2
10130;0
01411;0
02500;0
00321;0
02621;1
01531;0
01410;0
02620;1
02741;2
01530;0
00441;0
02740;1
00320;0
00440;2
02501;0
11100;1
11221;2
10011;0
12310;1
11220;1
11341;0
10010;2
10131;0
11101;0
12311;2
11230;1
10020;1
10141;0
10140;1
01521;0
01400;0
02610;1
00310;0
02731;1
01520;0
01641;1
00311;2
00431;2
02730;0
01640;0
00430;0
01401;0
02611;1
11111;2
12321;0
12200;0
11110;0
11231;2
12320;1
10021;2
12201;1
02401;0
22330;2
01311;0
02400;0
22331;1
02521;2
01310;0
01431;0
02520;0
00341;2
02641;0
01430;0
02640;1
00340;1
11320;1
10110;0
10231;2
10230;1
11201;1
11321;0
11200;1
10111;0
10240;1
01301;0
02511;0
22341;1
01300;0
01421;0
02510;0
02631;1
01420;0
01541;0
00330;0
02630;0
01540;0
00331;0
22340;2
11210;1
11331;1
10000;1
10121;1
11330;1
10120;2
10241;0
12301;1
11211;1
12300;0
10001;0
21341;1
21340;2
01730;0
00520;0
02940;1
00641;0
22430;1
00640;1
22310;1
22431;1
22311;2
02701;0
01611;0
02821;0
02700;0
00401;0
01610;2
01731;0
02820;2
00400;0
00521;0
02941;1
10330;1
11300;0
10211;0
10210;1
10331;1
11301;0
01840;2
22440;2
00630;0
22320;1
22441;1
22321;1
01601;2
02811;1
01721;2
01600;1
02810;1
02931;1
00511;2
01720;1
01841;1
00631;2
00510;0
02930;0
10220;2
10341;1
10340;2
11311;2
10101;2
11310;2
10100;0
10221;1
21321;1
21320;1
21441;1
21440;1
01631;0
01510;0
02720;2
00421;2
02841;1
01630;1
00420;0
00300;0
02840;0
00541;1
22530;1
00540;0
22410;1
22531;1
22411;1
02601;0
00301;0
01511;0
02600;2
02721;0
10310;2
10311;0
21331;1
21330;1
01620;1
02830;0
01741;0
00410;0
00531;2
01740;0
22540;2
00530;0
22420;1
22541;1
22300;1
22421;1
22301;1
01501;0
02711;1
01500;0
01621;0
02831;2
00411;0
02710;2
10200;2
10321;1
10320;0
10201;1
12031;0
12030;1
02341;0
02340;0
12040;2
12041;2
20901;0
20900;2
02331;2
02330;0
11041;0
12130;2
11040;0
12011;2
12131;0
12010;0
12020;0
12141;0
12140;1
12021;1
11140;1
11021;2
12231;0
12110;0
11020;2
11141;1
12230;0
02301;0
02300;0
02421;0
01331;0
02420;0
02541;0
01330;0
02540;0
12111;0
11030;1
12240;2
12121;1
12000;2
11031;0
12241;1
12120;2
02411;0
01321;0
02410;0
02531;0
01320;0
01441;0
02530;0
01440;0
12001;0
12330;1
11120;1
11241;0
10031;0
11240;2
10030;0
02321;0
02320;0
02441;0
02440;0
11001;2
12211;1
11000;1
11121;0
12210;1
12331;1
10040;2
12340;2
12341;2
11010;1
11131;0
12220;1
11130;1
10041;1
02311;0
02310;0
02431;0
01341;0
02430;0
01340;0
12101;1
11011;2
12221;2
12100;2
21820;0
21941;1
20610;0
20731;1
22910;0
21940;0
20730;2
22911;1
21701;0
21700;0
21821;0
20611;2
21710;2
21831;2
22800;2
20500;1
20621;2
22921;1
21830;0
20620;2
20741;2
22801;1
20740;2
21711;1
20501;1
22920;0
20830;0
00901;0
00900;1
21801;2
21800;2
21921;1
20711;1
21920;1
20710;2
20831;2
21930;0
20720;1
20841;0
22900;1
20840;0
22901;2
21811;0
20601;2
21810;0
21931;1
20600;2
20721;1
21901;1
21900;1
20811;2
20810;2
20931;0
20930;0
20940;0
21911;1
20701;0
21910;2
20700;0
20821;0
20820;0
20941;1
20911;0
20910;1
20801;0
20921;1
20800;0
20920;0
